time,F1,Pa,Pr,Td,Tg,Tst,Tcnd1,Tcnd2,Tgpz_a,Tgpz_b,Tgpz_v,Tgpz_g,Tturb_a,Tturb_b,Tturb_v,Tturb_g,Fr,seg,dPa,transient,resid_prism
2015-03-08 07:00:00,19.290913,190.81485,47.271782,35.949997,31.60284,46.323505,7.129,11.377,540.308,541.846,542.505,543.677,544.263,549.17,550.562,546.094,49.998764,2,13.971008000000012,False,
2015-03-08 08:00:00,19.28966,204.785858,48.476456,35.488819,31.717863,46.638054,7.153,11.426,542.651,544.116,542.285,544.409,542.798,546.46,546.899,544.263,50.000164,2,13.971007999999983,False,
2015-03-08 09:00:00,19.288408,218.756882,49.681129,35.027641,31.832886,46.952602,14.551,20.239,539.355,542.725,540.454,541.26,546.094,547.412,551.221,540.454,50.001564,2,13.971024,False,
2015-03-08 10:00:00,19.294416,284.474823,47.068813,35.455105,32.190815,49.988228,15.186,20.874,541.26,542.212,540.82,541.113,542.139,545.728,545.947,537.378,49.996986,2,65.71794100000002,True,
2015-03-08 11:00:00,19.292915,284.425262,36.477291,35.639301,32.312447,50.274658,15.601,20.898,538.989,540.454,538.843,543.604,541.406,545.581,542.944,538.477,49.999271,2,-0.04956100000003971,False,
2015-03-08 12:00:00,19.300425,284.651459,35.910969,35.693794,32.366943,50.363159,15.454,20.898,541.846,542.285,542.505,543.97,543.604,547.119,546.24,537.891,49.998402,2,0.2261970000000133,False,
2015-03-08 13:00:00,19.294416,284.564819,33.789764,35.748943,32.426235,50.432476,15.186,20.898,540.015,542.139,540.82,542.871,544.775,548.145,546.167,537.891,50.002033,2,-0.0866399999999885,False,
2015-03-08 14:00:00,19.293667,284.365631,33.054005,35.754829,32.441059,50.455147,15.112,20.825,542.285,543.457,543.384,544.482,545.435,548.73,546.094,537.891,50.003708,2,-0.19918799999999237,False,
2015-03-08 15:00:00,19.298923,284.354492,31.385855,35.667202,32.344707,50.205341,15.332,20.947,538.696,540.234,540.381,540.747,543.677,546.826,544.556,536.279,50.001526,2,-0.01113900000001422,False,
2015-03-08 16:00:00,19.295919,284.450684,32.086277,35.617065,32.284981,50.125557,15.137,20.874,540.601,541.04,542.651,542.725,544.556,548.071,546.167,537.598,49.999779,2,0.09619200000003048,False,
2015-03-08 17:00:00,19.295919,284.648987,37.083477,35.617283,32.270161,50.115093,15.112,20.825,541.553,542.871,542.944,542.798,546.313,549.023,547.339,538.77,49.994007,2,0.19830299999995304,False,
2015-03-08 18:00:00,19.298172,284.532654,45.561047,35.826763,32.443237,50.349209,15.112,20.825,541.553,542.871,541.553,544.336,545.361,548.145,546.899,537.817,49.997349,2,-0.11633299999999736,False,
2015-03-08 19:00:00,19.293667,284.646698,47.683159,35.847038,32.466778,50.427681,15.137,20.825,538.257,539.648,539.868,541.846,545.068,548.364,545.947,538.477,49.995132,2,0.11404400000003534,False,
2015-03-08 20:00:00,19.297421,284.363556,45.640785,35.846382,32.478115,50.45689,15.186,20.874,538.184,539.209,540.308,540.234,544.043,547.339,545.801,537.012,50.001453,2,-0.283141999999998,False,
2015-03-08 21:00:00,19.301928,284.504639,45.194977,35.832214,32.466778,50.445557,15.186,20.874,538.184,539.575,539.282,539.941,543.53,546.899,545.435,537.378,49.998474,2,0.14108299999998053,False,
2015-03-08 22:00:00,19.297421,284.728821,38.170811,35.784912,32.417515,50.402832,15.186,20.874,538.77,540.234,540.381,542.578,543.823,547.192,545.435,536.938,49.995644,2,0.22418199999998478,False,
2015-03-08 23:00:00,19.289911,202.384705,-0.55907,35.362026,30.458723,46.922085,7.544,12.085,543.091,542.285,543.237,545.947,533.716,539.063,535.034,533.276,50.001671,2,-82.34411599999999,True,
2015-03-09 00:00:00,19.296669,134.632248,-6.255128,33.005371,29.497957,42.335758,7.08,11.377,539.941,540.967,541.772,541.553,542.212,548.95,548.071,543.677,49.999111,2,-67.75245699999999,True,
2015-03-09 01:00:00,19.291412,134.011887,-4.587637,33.176094,30.055019,42.687115,7.153,11.304,541.04,542.798,543.237,544.263,539.429,545.874,543.896,542.285,50.007668,2,-0.6203610000000026,False,
2015-03-09 02:00:00,19.290661,134.667725,0.644245,33.253696,30.093384,42.763847,7.153,11.45,543.018,543.823,542.432,543.53,540.82,546.973,545.142,543.457,50.001671,2,0.6558379999999886,False,
2015-03-09 03:00:00,19.28916,134.793747,9.246858,33.288357,30.084229,42.772564,7.153,11.426,540.308,542.358,541.479,543.604,539.795,546.313,544.922,543.164,49.999382,2,0.12602200000000607,False,
2015-03-09 04:00:00,19.283152,135.088516,8.927,33.261543,30.049351,42.750767,7.202,11.45,541.699,541.992,542.944,543.896,540.161,546.46,544.922,543.164,49.995384,2,0.2947690000000023,False,
2015-03-09 05:00:00,19.289911,134.922806,6.351834,33.256748,30.070278,42.760357,7.153,11.45,543.018,544.043,544.263,545.581,540.674,546.313,545.654,543.164,49.999565,2,-0.16570999999999003,False,
2015-03-09 06:00:00,19.285404,134.854492,3.860937,33.248466,30.065918,42.781719,7.153,11.475,544.263,544.995,543.823,544.043,540.747,547.119,545.728,543.53,49.999058,2,-0.06831400000001508,False,
2015-03-09 07:00:00,19.283152,135.075851,2.000692,33.22427,30.038452,42.769077,7.153,11.45,541.846,542.725,543.75,543.384,540.161,545.874,544.629,543.164,49.995495,2,0.22135900000000674,False,
2015-03-09 08:00:00,19.283152,135.014786,36.292442,33.575874,30.29262,43.380302,7.153,11.475,542.578,543.604,541.699,545.801,543.164,549.023,546.606,544.189,49.994694,2,-0.06106500000001347,False,
2015-03-09 09:00:00,19.295919,135.160507,48.349148,34.229607,30.715071,44.268799,7.153,11.426,542.578,542.212,543.018,544.922,541.846,548.291,545.947,544.409,49.995384,2,0.14572100000000887,False,
2015-03-09 10:00:00,19.286156,134.947342,51.891136,34.383938,30.84804,44.46629,7.153,11.426,541.992,543.677,542.139,543.896,541.333,547.266,545.508,543.896,49.997856,2,-0.2131650000000036,False,
2015-03-09 11:00:00,19.288408,216.122528,57.178288,34.409004,31.345041,46.319145,14.648,20.239,541.187,542.871,540.308,544.263,544.995,547.925,548.291,538.916,49.998074,2,81.175186,True,
2015-03-09 12:00:00,19.299675,203.10488900000001,56.154385,37.408012,32.066998,48.377338,7.52,12.134,544.336,541.406,544.849,544.849,538.696,542.212,542.285,536.938,49.999165,2,-13.017638999999974,False,
2015-03-09 13:00:00,19.314693,217.777573,51.397305,34.799412,31.484549,46.739849,14.795,20.483,539.355,540.894,540.381,540.381,545.947,549.243,549.536,540.527,50.002396,2,14.672683999999975,False,
